province,lookback,accuracy,precision,recall,f1,roc_auc
Ha_Noi,30,0.5581395348837209,0.7567567567567568,0.5894736842105263,0.6627218934911243,0.4780185758513933
Ha_Tinh,3,0.49612403100775193,0.5283018867924528,0.4117647058823529,0.4628099173553719,0.5183220829315334
Ha_Tinh,5,0.5271317829457365,0.559322033898305,0.4852941176470588,0.5196850393700787,0.5392960462873675
Ha_Tinh,7,0.49612403100775193,0.5238095238095238,0.4852941176470588,0.5038167938931297,0.5043394406943105
Ha_Tinh,10,0.3875968992248062,0.3877551020408163,0.27941176470588236,0.3247863247863248,0.4226133076181292
Ha_Tinh,15,0.5038759689922481,0.5434782608695652,0.36764705882352944,0.43859649122807015,0.5024108003857282
Ha_Tinh,30,0.4728682170542636,0.5,0.3088235294117647,0.38181818181818183,0.4766152362584378
Ho_Chi_Minh,3,0.5348837209302325,0.9090909090909091,0.14492753623188406,0.25,0.6990338164251209
Ho_Chi_Minh,5,0.5116279069767442,0.875,0.10144927536231885,0.18181818181818182,0.6903381642512078
Ho_Chi_Minh,7,0.49612403100775193,0.8333333333333334,0.07246376811594203,0.13333333333333333,0.6743961352657004
Ho_Chi_Minh,10,0.4806201550387597,0.75,0.043478260869565216,0.0821917808219178,0.6637681159420291
Ho_Chi_Minh,15,0.49612403100775193,0.8333333333333334,0.07246376811594203,0.13333333333333333,0.6384057971014493
Ho_Chi_Minh,30,0.5193798449612403,0.6842105263157895,0.18840579710144928,0.29545454545454547,0.5524154589371981
Hue,3,0.5503875968992248,0.6153846153846154,0.25,0.35555555555555557,0.6774038461538462
Hue,5,0.5658914728682171,0.7,0.21875,0.3333333333333333,0.6875000000000001
Hue,7,0.5891472868217055,0.72,0.28125,0.4044943820224719,0.6358173076923077
Hue,10,0.5271317829457365,0.5789473684210527,0.171875,0.26506024096385544,0.5860576923076922
Hue,15,0.5581395348837209,0.7333333333333333,0.171875,0.27848101265822783,0.5975961538461537
Hue,30,0.5193798449612403,0.55,0.171875,0.2619047619047619,0.5151442307692307
Hung_Yen,3,0.4263565891472868,0.68,0.3695652173913043,0.4788732394366197,0.49588719153936545
Hung_Yen,5,0.4263565891472868,0.6875,0.358695652173913,0.4714285714285714,0.4885428907168038
Hung_Yen,7,0.46511627906976744,0.7346938775510204,0.391304347826087,0.5106382978723404,0.49265569917743823
Hung_Yen,10,0.4186046511627907,0.6976744186046512,0.32608695652173914,0.4444444444444444,0.4835487661574618
Hung_Yen,15,0.4418604651162791,0.6851851851851852,0.40217391304347827,0.5068493150684932,0.49735605170387776
